Name,Rating,Engine,EPA Class,Drivetrain,Body Style,Brake Type,Front Wheel Material,Rear Wheel Material,Suspension Type - Front,Suspension Type - Rear,Trans Type,Passenger Doors,Passenger Capacity,Base Curb Weight (lbs),Front Leg Room (in),Front Shoulder Room (in),Front Head Room (in),Wheelbase (in),"Track Width, Rear (in)","Height, Overall (in)","Length, Overall (in)","Track Width, Front (in)","Width, Max w/o mirrors (in)",SAE Net Horsepower ,Rear Brake Rotor Diam * Thickness (in),Front Brake Rotor Diam * Thickness (in),Front Wheel Size (in),Rear Wheel Size (in),Basic Miles/km,Basic Years,Corrosion Years,Drivetrain Years,Air Bag-Side Body-Rear,Air Bag-Side Head-Front,Air Bag-Side Head-Rear,Child Safety Rear Door Locks,Daytime Running Lights,Rollover Protection Bars,Fog Lamps,Parking Aid,Back-Up Camera
2020 Lexus ES,8,"Gas/Electric I-4, 2.5 L",Midsize,Front Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,1,4,5,3704,42.4,55.9,37.5,113,63.4,56.9,195.9,63,73.4,215,11.1,12,127.5,127.5,50000,4,6,6,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
2020 Lexus LC,7,"Premium Unleaded V-8, 5.0 L",Subcompact Car,Rear Wheel Drive,2dr Car,4-Wheel Disc,Aluminum,Aluminum,Multi-Link,Multi-Link,10,2,4,4280,42,56.5,37.2,113,64.4,53,187.4,64.2,75.6,471,14.1,15.7,170,190,50000,4,6,6,No,Yes,Yes,No,Yes,No,No,No,Yes
2020 Lexus LS,7,"Twin Turbo Premium Unleaded V-6, 3.5 L",Midsize,All Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Multi-Link,Multi-Link,10,4,5,4938,41,58.8,37.3,123,64.4,57.9,206.1,64.2,74.8,416,13.1,14,152,152,50000,4,6,6,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
2020 Lexus NX,6,"Intercooled Turbo Premium Unleaded I-4, 2.0 L",Small SUV 4WD,All Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Strut,Double Wishbone,6,4,5,4050,42.8,57.3,38.2,104.7,62.2,64.8,182.3,62.2,73.6,235,11.2,11.7,119,119,50000,4,6,6,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes
2020 Lexus RX,6,"Regular Unleaded V-6, 3.5 L",Small SUV 4WD,All Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Strut,Double Wishbone,8,4,5,4387,44.1,57.8,39.4,109.8,64,67.7,192.5,64.4,74.6,295,13.3,12.9,144,144,50000,4,6,6,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
2020 Lexus UX,6,"Premium Unleaded I-4, 2.0 L",Midsize,Front Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,10,4,5,3307,42.1,55.1,36.6,103.9,61,60.6,177,61,72.4,169,11.1,12,126,126,50000,4,6,6,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
2020 Lincoln Aviator,7,"Twin Turbo Premium Unleaded V-6, 3.0 L",Standard SUV 4WD,All Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,10,4,6,4892,43,61.5,40.2,119.1,66.9,69.6,199.3,66.9,82.3,400,13.8,13.6,220,220,50000,4,5,6,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes
2020 Lincoln Corsair,7,"Intercooled Turbo Premium Unleaded I-4, 2.0 L",Small SUV 4WD,All Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,8,4,5,3851,43.2,57.1,39.5,106.7,63.4,64.1,180.6,62.6,74.3,250,11,13.4,161.5,161.5,50000,4,5,6,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2020 Lincoln MKZ,6,"Gas/Electric I-4, 2.0 L",Midsize,Front Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,1,4,5,3871,44.3,57.7,37.9,112.2,62,58.1,194.1,62.3,73.4,188,12.4,12.4,152,152,50000,4,5,6,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
2020 Mercedes-Benz AMG GT,7,"Intercooled Turbo Gas/Electric I-6, 3.0 L",Compact,All Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Multi-Link,Multi-Link,9,4,4,4530,41.7,57.8,40.8,116.2,65.6,57.3,199.2,65.9,76.9,429,14.2,14.2,180.5,209,50000,4,4,4,No,Yes,Yes,Yes,Yes,No,No,No,Yes
